city,id,name,state_id,state_abbr,state_name,county_name,zip,lat,lng,population
Añasco,1,Aasco,72,PR,Puerto Rico,Anasco,610,18.2827291,-67.1396245,5075
Aaronsburg,2,Aaronsburg,42,PA,Pennsylvania,Centre,16820,40.8997903,-77.4533235,613
Aaronsburg,3,Aaronsburg,42,PA,Pennsylvania,Washington,15333,40.0108697,-80.0009194,259
Abanda,4,Abanda,1,AL,Alabama,Chambers,36276,33.100954,-85.5296753,192
Abbeville,5,Abbeville,45,SC,South Carolina,Abbeville,29620,34.1781719,-82.3790148,5237
Abbeville,6,Abbeville,13,GA,Georgia,Wilcox,31001,31.9921223,-83.3068243,2908
Abbeville,7,Abbeville,1,AL,Alabama,Henry,36310,31.5718352,-85.2504893,2688
Abbeville,8,Abbeville,22,LA,Louisiana,Vermilion,70510 70511,29.9746502,-92.1342921,12257
Abbeville,9,Abbeville,28,MS,Mississippi,Lafayette,38601,34.5031591,-89.5031368,419
Abbotsford,10,Abbotsford,55,WI,Wisconsin,Marathon,54405 54421,44.946356,-90.315969,2310
Abbott,11,Abbott,48,TX,Texas,Hill,76621,31.8848809,-97.0733361,356
Abbott,12,Abbott,35,NM,New Mexico,Colfax,87747,36.3055851,-104.2588701,
Abbott,13,Abbott,54,WV,West Virginia,Upshur,26201,38.9217656,-80.3214735,
Abbottsburg,14,Abbottsburg,37,NC,North Carolina,Bladen,28320,34.517114,-78.7250179,
Abbottstown,15,Abbottstown,42,PA,Pennsylvania,Adams,17301,39.8864869,-76.9847013,1011
Abbyville,16,Abbyville,20,KS,Kansas,Reno,67510,37.9708468,-98.2042299,87
Abell,17,Abell,48,TX,Texas,Carson,79068,35.3933811,-101.458781,
Abercrombie,18,Abercrombie,38,ND,North Dakota,Richland,58075 58001,46.4477384,-96.7303557,263
Aberdeen,19,Aberdeen,46,SD,South Dakota,Brown,57401 57402,45.4646985,-98.4864829,26091
Aberdeen,20,Aberdeen,24,MD,Maryland,Harford,21001 21018,39.5095556,-76.1641197,14959
Aberdeen,21,Aberdeen,39,OH,Ohio,Brown,45101,38.6556296,-83.7610323,1638
Aberdeen,22,Aberdeen,28,MS,Mississippi,Monroe,39730,33.8251139,-88.5436553,5612
Aberdeen,23,Aberdeen,37,NC,North Carolina,Moore,28315,35.131547,-79.4294789,6350
Aberdeen,24,Aberdeen,53,WA,Washington,Grays Harbor,98520,46.9753708,-123.8157218,16896
Aberdeen,25,Aberdeen,16,ID,Idaho,Bingham,83210,42.9440784,-112.8383265,1994
Aberdeen,26,Aberdeen,21,KY,Kentucky,Butler,42261,37.2539361,-86.6816547,
Aberfoil,27,Aberfoil,1,AL,Alabama,Bullock,36089,32.0704299,-85.6877257,
Abernant,28,Abernant,1,AL,Alabama,Tuscaloosa,35444,33.2903926,-87.198053,
Abernathy,29,Abernathy,48,TX,Texas,Hale,79311,33.8323038,-101.8429491,2805
Abeytas,30,Abeytas,35,NM,New Mexico,Socorro,87006,34.4675637,-106.8114154,56
Abie,31,Abie,31,NE,Nebraska,Butler,68001,41.3341756,-96.9489211,69
Abilene,32,Abilene,20,KS,Kansas,Dickinson,67410,38.9172216,-97.2139094,6844
Abilene,33,Abilene,48,TX,Texas,Taylor,79699 79602 79601 79607 79606 79605 79603 79604 79608 79697 79698,32.4487364,-99.7331439,117063
Abingdon,34,Abingdon,51,VA,Virginia,Washington,24210 24211 24212,36.7098335,-81.9773482,8191
Abingdon,35,Abingdon,17,IL,Illinois,Knox,61410,40.8044833,-90.4017954,3319
Abingdon,36,Abingdon,19,IA,Iowa,Jefferson,52533,41.0822387,-92.1390672,
Abingdon,37,Abingdon,24,MD,Maryland,Harford,21009,39.4623305,-76.2791236,
Abington,38,Abington,25,MA,Massachusetts,Plymouth,2351,42.1048228,-70.9453218,15985
Abington,39,Abington,42,PA,Pennsylvania,Montgomery,19001,40.1206656,-75.1179512,
Abiquiu,40,Abiquiu,35,NM,New Mexico,Rio Arriba,87510,36.207241,-106.3186397,231
Abita Springs,41,Abita Springs,22,LA,Louisiana,Saint Tammany,70420,30.4785257,-90.0375755,2365
Abo,42,Abo,35,NM,New Mexico,Torrance,87036,34.4558977,-106.3330712,
Aboite,43,Aboite,18,IN,Indiana,Allen,46783,41.0008805,-85.3180293,
Abraham,44,Abraham,49,UT,Utah,Millard,84635,39.3966197,-112.7180077,
Abram,45,Abram,48,TX,Texas,Hidalgo,78572,26.1997957,-98.4111287,2067
Abrams,46,Abrams,55,WI,Wisconsin,Oconto,54101,44.7791593,-88.0598261,340
Absarokee,47,Absarokee,30,MT,Montana,Stillwater,59001,45.5204982,-109.4429444,1150
Absecon,48,Absecon,34,NJ,New Jersey,Atlantic,8201,39.4284503,-74.4957076,8411
Academy,49,Academy,46,SD,South Dakota,Charles Mix,57369,43.4563876,-99.0798134,
Acampo,50,Acampo,6,CA,California,San Joaquin,95220,38.1746398,-121.2785588,341
Accident,51,Accident,24,MD,Maryland,Garrett,21520,39.628696,-79.319759,325
Accokeek,52,Accokeek,24,MD,Maryland,Prince George's,20601 20607,38.6676168,-77.0283092,10573
Accomac,53,Accomac,51,VA,Virginia,Accomack,23301,37.7195742,-75.6654845,519
Accord,54,Accord,36,NY,New York,Ulster,12404,41.7856489,-74.2290366,562
Accord,55,Accord,25,MA,Massachusetts,Plymouth,2061,42.1745451,-70.8836552,
Ace,56,Ace,48,TX,Texas,Polk,77351,30.5363152,-94.8243744,
Aceitunas,57,Aceitunas,72,PR,Puerto Rico,Moca,676,18.4432783,-67.0649026,1436
Acequia,58,Acequia,16,ID,Idaho,Minidoka,83350,42.6679642,-113.5969537,124
Achille,59,Achille,40,OK,Oklahoma,Bryan,74720,33.8373817,-96.41099359,492
Achilles,60,Achilles,51,VA,Virginia,Gloucester,23072,37.2801422,-76.4402257,
Ackerly,61,Ackerly,48,TX,Texas,Dawson,79713,32.5264993,-101.71597,220
Ackerman,62,Ackerman,28,MS,Mississippi,Choctaw,39735,33.3101243,-89.1728434,1510
Ackley,63,Ackley,19,IA,Iowa,Hardin,50601,42.5541451,-93.0532553,1589
Ackworth,64,Ackworth,19,IA,Iowa,Warren,50001,41.3669373,-93.4727131,83
Acme,65,Acme,53,WA,Washington,Whatcom,98220,48.7170574,-122.2051584,246
Acme,66,Acme,22,LA,Louisiana,Concordia,71354,31.2857351,-91.8204007,
Acme,67,Acme,35,NM,New Mexico,Chaves,88201,33.5923153,-104.3285785,
Acme,68,Acme,48,TX,Texas,Hardeman,79252,34.3167412,-99.8239861,
Acme,69,Acme,56,WY,Wyoming,Sheridan,82801,44.9105275,-106.9850706,
Acoma,70,Acoma,32,NV,Nevada,Lincoln,89008,37.5483023,-114.1724807,
Acomita,71,Acomita,35,NM,New Mexico,Cibola,87034,35.0553199,-107.5717171,
Acorn,72,Acorn,51,VA,Virginia,Westmoreland,22529,38.0192976,-76.6491233,
Acra,73,Acra,36,NY,New York,Greene,12405,42.3109186,-74.0554126,
Acree,74,Acree,13,GA,Georgia,Dougherty,31791,31.5554539,-83.9960153,
Acton,75,Acton,6,CA,California,Los Angeles,93510,34.469994,-118.1967418,7596
Acton,76,Acton,23,ME,Maine,York,4001,43.5342468,-70.9097847,
Acton,77,Acton,25,MA,Massachusetts,Middlesex,1720,42.4850931,-71.43284,
Acton,78,Acton,30,MT,Montana,Yellowstone,59002,45.9305083,-108.6806978,
Acushnet,79,Acushnet,25,MA,Massachusetts,Bristol,2743,41.6806593,-70.907816,3073
Acworth,80,Acworth,13,GA,Georgia,Cobb,30144 30101,34.0659329,-84.6768796,20425
Acworth,81,Acworth,33,NH,New Hampshire,Sullivan,3601,43.2178539,-72.2920317,
Acy,82,Acy,22,LA,Louisiana,Ascension,70774,30.2188079,-90.8203734,
Ada,83,Ada,27,MN,Minnesota,Norman,56510,47.299689,-96.5153463,1707
Ada,84,Ada,39,OH,Ohio,Hardin,45810,40.7694969,-83.8227149,5952
Ada,85,Ada,40,OK,Oklahoma,Pontotoc,74820 74821,34.7784784,-96.70212809,16810
