id,date,date
1,2018-01-31,01-31-2018
2,2018-10-10,10-10-2018
3,2018-10-15,10-15-2018
4,2018-10-17,10-17-2018
5,2018-10-24,10-24-2018
6,2018-10-31,10-31-2018
7,2018-11-27,11-27-2018
8,2018-12-31,12-31-2018
9,2018-02-07,02-07-2018
10,2018-03-14,03-14-2018
11,2018-03-19,03-19-2018
12,2018-03-07,03-07-2018
13,2018-04-10,04-10-2018
14,2018-04-11,04-11-2018
15,2018-04-18,04-18-2018
16,2018-04-24,04-24-2018
17,2018-05-15,05-15-2018
18,2018-05-02,05-02-2018
19,2018-05-31,05-31-2018
20,2018-05-09,05-09-2018
21,2018-06-18,06-18-2018
22,2018-06-30,06-30-2018
23,2018-07-18,07-18-2018
24,2018-09-12,09-12-2018
25,2018-09-25,09-25-2018
26,2018-09-05,09-05-2018
27,2018-12-31,12-31-2018
